gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
CHN202503180,LAN,CHN,TOK01,20250318,0,7:10PM,night,9,2,true,,158,42365,unknown,none,dome,72,unknown,0,speaa701,,,millb901,estam901,barrl901,libkj901,(none),(none),yamay001,browb006,scott003,regular,4,1,LAN,CHN,y,both,y,y,y,2025
CHN202503190,LAN,CHN,TOK01,20250319,0,7:10PM,night,9,2,true,,165,42367,unknown,none,dome,72,unknown,0,speaa701,,,porta901,barrl901,libkj901,millb901,(none),(none),knacl001,steej002,vesia001,regular,6,3,LAN,CHN,y,both,y,y,y,2025
ARI202503270,CHN,ARI,PHO01,20250327,0,7:10PM,night,9,2,true,,179,49070,unknown,none,sunny,87,ltor,6,johnj701,,,belld901,cuzzp901,randt901,vondc901,(none),(none),steej002,gallz001,,regular,10,6,CHN,ARI,y,both,y,y,y,2025
CHA202503270,ANA,CHA,CHI12,20250327,0,3:10PM,day,9,2,true,,141,31403,unknown,none,cloudy,54,fromrf,11,seipb701,,,porta901,wolfj901,segac901,macka901,(none),(none),burks001,kikuy001,,regular,1,8,CHA,ANA,y,both,y,y,y,2025
CIN202503270,SFN,CIN,CIN09,20250327,0,4:10PM,day,9,2,true,,144,43876,unknown,none,cloudy,61,rtol,10,rothr701,,,kulpr901,blasc901,gonzm901,tosia901,(none),(none),roget002,gibai001,walkr001,regular,6,4,SFN,CIN,y,both,y,y,y,2025
HOU202503270,NYN,HOU,HOU03,20250327,0,3:10PM,day,9,2,true,,165,42305,unknown,none,dome,73,unknown,0,blour701,,,fleta901,drakr901,viscj901,moorm901,(none),(none),valdf001,holmc001,hadej001,regular,1,3,HOU,NYN,y,both,y,y,y,2025
KCA202503270,CLE,KCA,KAN06,20250327,0,3:10PM,day,9,2,true,,161,39393,unknown,none,cloudy,76,rtol,12,butcp701,,,eddid901,muchm901,morag901,jimee901,(none),(none),clase001,longs002,sewap001,regular,7,4,CLE,KCA,y,both,y,y,y,2025
LAN202503270,DET,LAN,LOS03,20250327,0,4:10PM,day,9,2,true,,152,53595,unknown,none,cloudy,69,torf,3,munse701,,,conrc901,tumpj901,rehaj901,millb903,(none),(none),snelb001,skubt001,treib001,regular,4,5,LAN,DET,y,both,y,y,y,2025
MIA202503270,PIT,MIA,MIA02,20250327,0,4:10PM,day,9,2,true,,184,31590,unknown,none,sunny,76,fromlf,7,jernr701,,,millb901,fairc901,may-b901,ortir901,(none),(none),tinoj001,bednd001,,regular,4,5,MIA,PIT,y,both,y,y,y,2025
NYA202503270,MIL,NYA,NYC21,20250327,0,3:05PM,day,9,2,true,,188,46208,unknown,none,sunny,48,tolf,17,sprej701,,,hudsm901,gibsh902,blakr901,valej901,(none),(none),rodoc001,peraf001,willd004,regular,2,4,NYA,MIL,y,both,y,y,y,2025
