gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
CHN202503180,LAN,0,0,0,0,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,11,robed001,value,42,34,4,7,2,0,0,3,0,0,0,8,0,9,0,0,0,0,0,27,0,32,3,1,0,0,1,1,1,0,9,1,0,0,0,0,1,0,0,27,8,0,0,0,0,0,1,0,ohtas001,edmat001,hernt002,smitw003,muncm001,herne001,confm001,rojam002,pagea001,yamay001,smitw003,herne001,edmat001,muncm001,rojam002,confm001,pagea001,hernt002,ohtas001,20250318,0,TOK01,v,CHN,1,0,0,regular,y,y
CHN202503180,CHN,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,4,counc001,value,32,30,1,3,1,0,0,1,0,0,1,1,0,9,1,0,0,0,0,27,0,42,7,2,0,0,4,3,8,0,9,0,0,0,0,0,0,0,0,27,9,2,0,0,0,0,0,0,happi001,suzus001,tuckk001,buscm003,shawm002,swand001,crowp001,amaym001,bertj001,imans001,amaym001,buscm003,bertj001,shawm002,swand001,happi001,crowp001,tuckk001,suzus001,20250318,0,TOK01,h,LAN,0,1,0,regular,y,y
CHN202503190,LAN,0,2,1,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,robed001,value,38,30,6,7,3,0,3,5,0,1,0,7,1,9,0,0,3,0,0,27,0,41,8,2,0,0,3,3,7,0,12,0,0,0,0,0,2,0,0,27,4,0,1,0,0,0,2,0,ohtas001,edmat001,hernt002,smitw003,muncm001,herne001,confm001,rojam002,pagea001,sasar001,smitw003,herne001,edmat001,muncm001,rojam002,confm001,pagea001,hernt002,ohtas001,20250319,0,TOK01,v,CHN,1,0,0,regular,y,y
CHN202503190,CHN,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,11,counc001,value,41,34,3,8,2,0,0,3,0,0,0,7,0,12,2,0,0,0,0,27,0,38,7,3,0,3,6,6,7,1,9,0,0,0,0,1,0,0,1,27,12,0,3,0,1,0,0,0,happi001,suzus001,tuckk001,buscm003,shawm002,swand001,crowp001,kellc002,bertj001,steej002,kellc002,buscm003,bertj001,shawm002,swand001,happi001,crowp001,tuckk001,suzus001,20250319,0,TOK01,h,LAN,0,1,0,regular,y,y
ARI202503270,CHN,0,3,0,1,3,1,0,0,2,,,,,,,,,,,,,,,,,,,,10,counc001,value,47,41,10,12,3,0,1,10,0,0,0,6,0,10,1,0,0,0,2,27,0,40,9,3,0,1,6,6,3,0,4,2,1,0,0,2,0,0,0,27,9,0,1,0,0,1,0,0,happi001,tuckk001,suzus001,buscm003,swand001,hoern001,crowp001,shawm002,amaym001,steej002,amaym001,buscm003,hoern001,shawm002,swand001,happi001,crowp001,tuckk001,suzus001,20250327,0,PHO01,v,ARI,1,0,0,regular,y,y
ARI202503270,ARI,1,1,0,1,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,7,lovut001,value,40,33,6,9,3,0,1,6,0,2,2,3,0,4,0,0,1,0,0,27,0,47,12,3,0,1,10,10,6,0,10,0,0,0,0,0,1,0,0,27,7,1,0,0,0,0,1,0,martk001,carrc005,gurrl001,naylj001,moreg001,suare001,gricr001,mccaj003,perdg001,gallz001,moreg001,naylj001,martk001,suare001,perdg001,gurrl001,mccaj003,carrc005,gricr001,20250327,0,PHO01,h,CHN,0,1,0,regular,y,y
CHA202503270,ANA,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,7,washr001,value,35,32,1,5,1,0,1,1,0,0,1,2,0,10,0,0,0,0,0,24,0,35,9,2,0,3,8,8,2,0,6,0,0,0,0,0,0,0,0,24,8,0,0,0,0,0,0,0,wardt002,schan001,troum001,solej001,andet001,rengl001,ohopl001,adelj001,newmk001,kikuy001,ohopl001,schan001,andet001,rengl001,newmk001,wardt002,adelj001,troum001,solej001,20250327,0,CHI12,v,CHA,0,1,0,regular,y,y
CHA202503270,CHA,0,3,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,3,venaw001,value,35,33,8,9,2,0,3,8,0,0,0,2,0,6,0,0,0,0,0,27,0,35,5,1,0,1,1,1,2,0,10,1,0,0,0,0,0,0,0,27,8,0,0,0,0,0,0,0,vargm001,robel002,benia002,vauga001,slata001,sosal001,lee-k002,amayj001,taylm002,burks001,lee-k002,vauga001,sosal001,vargm001,amayj001,taylm002,robel002,slata001,benia002,20250327,0,CHI12,h,ANA,1,0,0,regular,y,y
CIN202503270,SFN,0,0,0,2,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,2,melvb001,value,35,33,6,6,0,0,2,6,0,0,0,2,0,17,0,0,0,0,0,27,0,38,8,1,0,0,4,4,4,0,8,1,0,0,0,0,0,0,0,27,10,0,1,0,0,0,0,0,wadel001,adamw002,lee-j001,chapm001,ramoh002,bailp001,florw001,yastm001,fitzt001,webbl001,bailp001,wadel001,fitzt001,chapm001,adamw002,ramoh002,lee-j001,yastm001,florw001,20250327,0,CIN09,v,CIN,1,0,0,regular,y,y
CIN202503270,CIN,1,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,7,frant001,value,38,33,4,8,1,0,0,4,0,0,1,4,0,8,0,0,1,0,0,27,0,35,6,0,0,2,6,6,2,0,17,0,1,0,0,0,0,0,0,27,0,0,0,0,0,1,0,0,friet001,mclam001,delae003,lux-g001,candj002,stees001,encac001,fralj001,trevj001,greeh001,trevj001,encac001,mclam001,candj002,delae003,lux-g001,friet001,fralj001,stees001,20250327,0,CIN09,h,SFN,0,1,0,regular,y,y
HOU202503270,NYN,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,10,mendc801,value,38,30,1,6,1,0,0,1,0,1,1,6,0,7,0,0,1,0,0,24,0,36,7,0,0,0,3,2,5,0,7,1,0,0,1,0,0,0,0,24,10,1,1,0,0,0,0,0,lindf001,sotoj001,alonp001,vienm001,nimmb001,marts002,taylt002,acunl001,torrl001,holmc001,torrl001,alonp001,acunl001,vienm001,lindf001,nimmb001,taylt002,sotoj001,marts002,20250327,0,HOU03,v,HOU,0,1,0,regular,y,y
HOU202503270,HOU,0,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9,espaj801,value,36,29,3,7,0,0,0,2,1,0,1,5,0,7,0,0,1,0,0,27,0,38,6,1,0,0,1,1,6,0,7,1,1,0,0,1,0,0,0,27,11,0,1,0,0,1,0,0,altuj001,parei001,alvay001,walkc002,diazy004,penaj004,smitc010,rodgb002,meyej002,valdf001,diazy004,walkc002,rodgb002,parei001,penaj004,altuj001,meyej002,smitc010,alvay001,20250327,0,HOU03,h,NYN,1,0,0,regular,y,y
KCA202503270,CLE,0,0,0,1,1,2,0,0,0,3,,,,,,,,,,,,,,,,,,,5,vogts001,value,42,36,7,10,3,1,1,7,1,2,0,3,1,5,0,0,1,0,0,30,0,38,7,2,0,1,4,4,1,0,10,0,0,0,1,1,2,0,0,30,6,0,1,0,0,0,2,0,kwans001,ramij003,thoml002,santc002,manzk001,noelj001,naylb001,ariag002,roccb001,liveb001,naylb001,santc002,ariag002,ramij003,roccb001,kwans001,thoml002,noelj001,manzk001,20250327,0,KAN06,v,KCA,1,0,0,regular,y,y
KCA202503270,KCA,0,0,3,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,4,quatm801,value,38,35,4,7,2,0,1,4,1,1,0,1,0,10,2,0,0,0,1,30,0,42,10,3,1,1,7,6,3,1,5,0,0,0,1,2,0,0,0,30,15,0,1,0,0,0,0,0,indij001,wittb002,pasqv001,peres002,massm001,renfh001,melem001,biggc002,isbek001,ragac001,peres002,biggc002,massm001,indij001,wittb002,melem001,isbek001,renfh001,pasqv001,20250327,0,KAN06,h,CLE,0,1,0,regular,y,y
LAN202503270,DET,0,0,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,11,hinca001,value,42,34,4,9,0,1,1,3,0,2,0,6,0,9,1,0,0,0,0,24,0,32,7,0,0,3,5,5,1,0,6,0,0,0,0,0,0,0,0,24,9,0,0,0,0,0,0,0,ibana001,torrg001,greer003,torks001,margm001,keitc001,baezj001,rogej004,kreir001,skubt001,rogej004,keitc001,torrg001,ibana001,baezj001,greer003,kreir001,margm001,torks001,20250327,0,LOS03,v,LAN,0,1,0,regular,y,y
